id,text,option_a,option_b,option_c,option_d,correct,source,topic,type
547,Which part of ASME A17.3 would you open first to research acceptance inspections on existing elevators?,New equipment acceptance tests,Conveyor operations,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,C,ASME A17.3,existing elevators,toc_navigation
548,A question involves existing installations on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,A,ASME A17.3,existing elevators,toc_navigation
549,"To locate retrofit-related guidance for conveyor guarding, where would you begin in ASME A17.3?",Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
550,Which part of ASME A17.3 would you open first to research demolition protection on existing elevators?,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
551,A question involves grounding on an older installation. Which ASME A17.3 topic is the best first stop?,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,Conveyor operations,New equipment acceptance tests,B,ASME A17.3,existing elevators,toc_navigation
552,"To locate retrofit-related guidance for lighting, where would you begin in ASME A17.3?",Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
553,Which part of ASME A17.3 would you open first to research pit ladders on existing elevators?,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
554,A question involves car operating panels on an older installation. Which ASME A17.3 topic is the best first stop?,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
555,"To locate retrofit-related guidance for accessibility dimensions, where would you begin in ASME A17.3?",Scaffolding and hoisting safety,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
556,Which part of ASME A17.3 would you open first to research shunt trip on existing elevators?,Conveyor operations,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,New equipment acceptance tests,B,ASME A17.3,existing elevators,toc_navigation
557,A question involves machine rooms on an older installation. Which ASME A17.3 topic is the best first stop?,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
558,"To locate retrofit-related guidance for control spaces, where would you begin in ASME A17.3?",New equipment acceptance tests,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
559,Which part of ASME A17.3 would you open first to research pits on existing elevators?,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
560,A question involves car enclosures on an older installation. Which ASME A17.3 topic is the best first stop?,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
561,"To locate retrofit-related guidance for fire service, where would you begin in ASME A17.3?",Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
562,Which part of ASME A17.3 would you open first to research electrical disconnects on existing elevators?,New equipment acceptance tests,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
563,A question involves working clearances on an older installation. Which ASME A17.3 topic is the best first stop?,New equipment acceptance tests,Scaffolding and hoisting safety,Conveyor operations,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
564,"To locate retrofit-related guidance for refuge spaces, where would you begin in ASME A17.3?",Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,B,ASME A17.3,existing elevators,toc_navigation
565,Which part of ASME A17.3 would you open first to research handrails on existing elevators?,New equipment acceptance tests,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
566,A question involves step demarcation on an older installation. Which ASME A17.3 topic is the best first stop?,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
567,"To locate retrofit-related guidance for platform lift landings, where would you begin in ASME A17.3?",New equipment acceptance tests,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
568,Which part of ASME A17.3 would you open first to research door locking devices on existing elevators?,Scaffolding and hoisting safety,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
